quarter_id,class_id,module_name,programme_name,campus_id,professor_id,group_ids,student_count,day,start_time,duration_hours,room_id,capacity,room_campus_id
Q1,C0716,Robotics: Applications,BEng Software Systems,BER02,PROF090,"['G064', 'G065']",95,Monday,09:00,2.0,R016,100,BER02
Q1,C0017,Data Structures: Advanced Methods,BSc Computer Science,BER03,PROF161,"['G002', 'G003']",93,Tuesday,09:00,2.0,R029,230,BER03
Q1,C0568,Risk Management,BSc Banking and Finance,BER01,PROF100,"['G052', 'G051']",93,Wednesday,09:00,2.5,R009,135,BER01
Q1,C0489,Financial Modelling,BSc Economics,BER01,PROF193,"['G045', 'G044']",89,Thursday,09:00,2.5,R009,135,BER01
Q1,C0512,Derivatives,BSc Economics,BER01,PROF241,"['G046', 'G047']",85,Friday,09:00,2.0,R009,135,BER01
Q1,C0470,Organisational Behaviour: Applications,MSc Management,BER01,PROF284,"['G043', 'G042']",81,Monday,11:00,3.0,R015,130,BER02
Q1,C1102,Counselling Foundations: Applications,BSc Psychology,BER01,PROF080,"['G098', 'G097']",80,Tuesday,11:00,2.0,R002,80,BER01
Q1,C0069,Algorithms: Applications,BSc Data Science,BER03,PROF106,"['G007', 'G008']",79,Friday,11:00,2.5,R029,230,BER03
Q1,C0607,Financial Modelling: Applications,MSc Economics,BER01,PROF271,"['G055', 'G054']",79,Wednesday,11:30,3.0,R002,80,BER01
Q1,C0052,Big Data Engineering: Applications,BSc Data Science,BER03,PROF041,"['G006', 'G005']",78,Thursday,11:30,2.0,R029,230,BER03
Q1,C0649,Financial Analytics,MSc Financial Analytics,BER04,PROF040,"['G058', 'G059']",75,Tuesday,13:00,3.0,R044,125,BER04
Q1,C0988,Creative Project Management,BA UX and Interaction Design,BER04,PROF269,"['G087', 'G088']",74,Thursday,13:30,2.0,R044,125,BER04
Q1,C0988,Creative Project Management,BA UX and Interaction Design,BER04,PROF269,"['G087', 'G088']",74,Friday,13:30,2.0,R044,125,BER04
Q1,C0400,Digital Transformation,BSc Marketing and Management,BER04,PROF056,"['G037', 'G036']",73,Monday,14:00,2.0,R044,125,BER04
Q1,C1338,Molecular Biology: Applications,MSc Health Informatics,POT01,PROF110,"['G119', 'G118']",72,Wednesday,11:30,3.0,R047,105,POT01
Q1,C0119,Advanced Programming,BSc Artificial Intelligence,BER03,PROF267,"['G011', 'G012']",71,Thursday,09:00,2.0,R036,75,BER03
Q1,C0119,Advanced Programming,BSc Artificial Intelligence,BER03,PROF267,"['G011', 'G012']",71,Friday,09:00,2.0,R036,75,BER03
Q1,C0673,Risk Management: Applications,MSc Financial Analytics,BER04,PROF254,"['G060', 'G061']",71,Monday,11:00,3.0,R044,125,BER04
Q1,C0358,Supply Chain Management,BSc International Business,BER01,PROF272,"['G033', 'G032']",70,Tuesday,09:00,2.0,R002,80,BER01
Q1,C0152,Computer Vision: Applications,BSc Cybersecurity,BER03,PROF052,"['G015', 'G014']",60,Wednesday,14:30,2.0,R027,60,BER03
Q1,C0139,Database Systems: Advanced Methods,BSc Artificial Intelligence,BER03,PROF170,['G013'],51,Thursday,11:30,2.0,R027,60,BER03
